학교명,관할구군청,주소,우편번호,전화번호,팩스번호
동변중학교,북구,대구광역시 북구 동변로14길 12 (동변동),41414,053-233-8000,053-953-2703
동평중학교,북구,"대구광역시 북구 대천로 123 , 동평중학교 (구암동)",41428,053-233-7400,053-325-3987
매천중학교,북구,"대구광역시 북구 매전로 56 (태전동, 매천중학교)",41471,053-233-8241,053-233-8250
복현중학교,북구,대구광역시 북구 동북로65길 28 (복현동),41528,053-233-6670,053-943-4845
사수중학교,북구,대구광역시 북구 내곡로 140 (사수동),41492,053-233-8770,053-323-9401
산격중학교,북구,"대구광역시 북구 동북로31길 29 (산격동, 산격중학교)",41519,053-233-7100,053-383-7110
서남중학교,서구,대구광역시 서구 당산로41서길 97 (중리동),41846,053-233-7805,053-555-1403
서대구중학교,서구,"대구광역시 서구 북비산로45길 7 (평리동, 서대구중학교)",41737,053-233-7872,053-552-6020
서변중학교,북구,"대구광역시 북구 서변로21길 14 (서변동,서변중학교)",41474,053-233-8171,053-951-4045
운암중학교,북구,대구광역시 북구 구암로49길 9 (구암동),41432,053-233-6983,053-321-0974
중리중학교,서구,대구광역시 서구 국채보상로34길 63 (중리동),41839,053-233-6250,053-556-1364
칠곡중학교,북구,"대구광역시 북구 칠곡중앙대로 583 , 칠곡중학교 (읍내동)",41403,053-233-6480,053-322-8313
침산중학교,북구,대구광역시 북구 침산남로 121 (침산동),41559,053-233-6600,053-359-1671
팔달중학교,북구,"대구광역시 북구 매천로2길 19-22 (팔달동, 팔달중학교)",41489,053-233-6910,053-312-2890
평리중학교,서구,"대구광역시 서구 국채보상로55길 21 (평리동, 평리중학교)",41775,053-233-6170,053-521-3409
학남중학교,북구,"대구광역시 북구 학남로 83 (국우동, 대구학남중학교)",41419,053-233-7710,053-326-8120
경명여자중학교,북구,"대구광역시 북구 칠성로17길 18 (칠성동2가, 경명여자중고등학교)",41578,053-233-8453,053-426-0191
대구청라중학교,서구,"대구광역시 서구 국채보상로 384 (비산동, 대구청라중)",41804,053-233-8510,053-571-2510
성광중학교,북구,"대구광역시 북구 검단로 150 , (복현동, 성광중학교) ",41521,053-233-8355,053-384-0510
성화중학교,북구,대구광역시 북구 복현로 140 (복현동),41522,053-233-8600,053-383-2473
대구고매초등학교,군위군,"대구광역시 군위군 효령면 용매로 970 (효령면,고매초등학교)",43137,054-380-4300,054-382-9768
대구군위초등학교,군위군,대구광역시 군위군 군위읍 동서5길 28 대구군위초등학교,43114,054-380-4333,054-382-8856
대구부계초등학교,군위군,대구광역시 군위군 부계면 치산효령로 1376 대구부계초등학교,43162,054-380-4400,054-383-6843
대구송원초등학교,군위군,"대구광역시 군위군 소보면 송백로 1394 (소보면,송원초등학교)",43102,054-380-4441,054-383-5410
대구우보초등학교,군위군,"대구광역시 군위군 우보면 이화길 95 (우보면, 우보초등학교)",43142,053-380-4471,054-382-6848
대구의흥초등학교,군위군,"대구광역시 군위군 의흥면 읍내길 67-17 (의흥면,의흥초등학교)",43149,054-380-4500,054-382-9936
대구의흥초등학교석산분교장,군위군,"대구광역시 군위군 삼국유사면 삼국유사로 1314 (삼국유사면,석산초등학교)",43153,054-383-0220,054-383-0220
대구효령초등학교,군위군,대구광역시 군위군 효령면 치산효령로 2386 효령초등학교,43129,054-380-4541,054-383-9272
군위중학교,군위군,대구광역시 군위군 군위읍 군청로 254-6 (군위중학교),43110,054-383-2682,054-382-6695
군위중학교우보분교장,군위군,"대구광역시 군위군 우보면 솔밭길 74 (우보면,우보중학교)",43145,054-382-6081,054-383-5675
부계중학교,군위군,"대구광역시 군위군 부계면 춘산1길 16 (부계면, 부계중학교)",43163,054-382-2847,054-383-9488
의흥중학교,군위군,"대구광역시 군위군 의흥면 읍내길 89-32 (의흥명,의흥중학교)",43149,054-380-4586,054-382-1856
효령중학교,군위군,"대구광역시 군위군 효령면 중리길 6-25 (효령면,효령중고등학교)",43130,054-380-4620,054-383-1361
